No.;Time ;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jiter
1;0;;0;0,000484;0,000484;;0,000484;-0,001198;-0,001682
2;0,000484;;0,000484;0,000484;0;;-0,001198;0,001198;0,002396
3;0,000484;;0,000484;0,001682;0,001198;;0,001198;0;-0,001198
4;0,001682;;0,001682;0,001682;0;;0;-0,000379;-0,000379
5;0,001682;;0,001682;0,001682;0;;-0,000379;-0,000162;0,000217
6;0,001682;;0,001682;0,002061;0,000379;;-0,000162;0,000541;0,000703
7;0,002061;;0,002061;0,002602;0,000541;;0,000541;-0,000505;-0,001046
8;0,002602;;0,002602;0,002602;0;;-0,000505;0,000505;0,00101
9;0,002602;;0,002602;0,003107;0,000505;;0,000505;-0,000193;-0,000698
10;0,003107;;0,003107;0,003107;0;;-0,000193;0,000059;0,000252
11;0,003107;;0,003107;0,0033;0,000193;;0,000059;-0,000456;-0,000515
12;0,0033;;0,0033;0,003434;0,000134;;-0,000456;0,000129;0,000585
13;0,003434;;0,003434;0,004024;0,00059;;0,000129;0,000461;0,000332
14;0,004024;;0,004024;0,004485;0,000461;;0,000461;-0,001136;-0,001597
15;0,004485;;0,004485;0,004485;0;;-0,001136;0,001136;0,002272
16;0,004485;;0,004485;0,005621;0,001136;;0,001136;0;-0,001136
17;0,005621;;0,005621;0,005621;0;;0;-0,000159;-0,000159
18;0,005621;;0,005621;0,005621;0;;-0,000159;-0,000682;-0,000523
19;0,005621;;0,005621;0,00578;0,000159;;-0,000682;0,000661;0,001343
20;0,00578;;0,00578;0,006621;0,000841;;0,000661;-0,092121;-0,092782
21;0,006621;;0,006621;0,006801;0,00018;;-0,092121;0,091462;0,183583
22;0,006801;;0,006801;0,099102;0,092301;;0,091462;2,6E-05;-0,091436
23;0,099102;;0,099102;0,099941;0,000839;;2,6E-05;0,000813;0,000787
24;0,099941;;0,099941;0,100754;0,000813;;0,000813;0;-0,000813
25;0,100754;;0,100754;0,100754;0;;0;-0,000508;-0,000508
26;0,100754;;0,100754;0,100754;0;;-0,000508;0,000508;0,001016
27;0,100754;;0,100754;0,101262;0,000508;;0,000508;-0,000772;-0,00128
28;0,101262;;0,101262;0,101262;0;;-0,000772;0,000772;0,001544
29;0,101262;;0,101262;0,102034;0,000772;;0,000772;-0,000228;-0,001
30;0,102034;;0,102034;0,102034;0;;-0,000228;7,3E-05;0,000301
31;0,102034;;0,102034;0,102262;0,000228;;7,3E-05;-0,000254;-0,000327
32;0,102262;;0,102262;0,102417;0,000155;;-0,000254;-0,000279;-2,5E-05
33;0,102417;;0,102417;0,102826;0,000409;;-0,000279;0,000688;0,000967
34;0,102826;;0,102826;0,103514;0,000688;;0,000688;0;-0,000688
35;0,103514;;0,103514;0,103514;0;;0;0;0
36;0,103514;;0,103514;0,103514;0;;0;-0,013159;-0,013159
37;0,103514;;0,103514;0,103514;0;;-0,013159;-0,043228;-0,030069
38;0,103514;;0,103514;0,116673;0,013159;;-0,043228;0,05609;0,099318
39;0,116673;;0,116673;0,17306;0,056387;;0,05609;0,000297;-0,055793
40;0,17306;;0,17306;0,173357;0,000297;;0,000297;-0,000206;-0,000503
41;0,173357;;0,173357;0,173357;0;;-0,000206;0,000206;0,000412
42;0,173357;;0,173357;0,173563;0,000206;;0,000206;0;-0,000206
43;0,173563;;0,173563;0,173563;0;;0;0;0
44;0,173563;;0,173563;0,173563;0;;0;-0,000131;-0,000131
45;0,173563;;0,173563;0,173563;0;;-0,000131;0,000131;0,000262
46;0,173563;;0,173563;0,173694;0,000131;;0,000131;0;-0,000131
47;0,173694;;0,173694;0,173694;0;;0;-7,2E-05;-7,2E-05
48;0,173694;;0,173694;0,173694;0;;-7,2E-05;-4,3E-05;2,9E-05
49;0,173694;;0,173694;0,173766;7,2E-05;;-4,3E-05;6,7E-05;0,00011
50;0,173766;;0,173766;0,173881;0,000115;;6,7E-05;-0,013695;-0,013762
51;0,173881;;0,173881;0,173929;4,8E-05;;-0,013695;0,00239;0,016085
52;0,173929;;0,173929;0,187672;0,013743;;0,00239;0,010519;0,008129
53;0,187672;;0,187672;0,199025;0,011353;;0,010519;0,00035;-0,010169
54;0,199025;;0,199025;0,199859;0,000834;;0,00035;0,000484;0,000134
55;0,199859;;0,199859;0,200343;0,000484;;0,000484;-0,000413;-0,000897
56;0,200343;;0,200343;0,200343;0;;-0,000413;-0,006825;-0,006412
57;0,200343;;0,200343;0,200756;0,000413;;-0,006825;0,00641;0,013235
58;0,200756;;0,200756;0,207994;0,007238;;0,00641;-0,000445;-0,006855
59;0,207994;;0,207994;0,208822;0,000828;;-0,000445;0,001273;0,001718
60;0,208822;;0,208822;0,210095;0,001273;;0,001273;0;-0,001273
61;0,210095;;0,210095;0,210095;0;;0;0;0
62;0,210095;;0,210095;0,210095;0;;0;0;0
63;0,210095;;0,210095;0,210095;0;;0;0;0
64;0,210095;;0,210095;0,210095;0;;0;-0,000281;-0,000281
65;0,210095;;0,210095;0,210095;0;;-0,000281;-0,014108;-0,013827
66;0,210095;;0,210095;0,210376;0,000281;;-0,014108;-0,076858;-0,06275
67;0,210376;;0,210376;0,224765;0,014389;;-0,076858;0,090991;0,167849
68;0,224765;;0,224765;0,316012;0,091247;;0,090991;-0,0003;-0,091291
69;0,316012;;0,316012;0,316268;0,000256;;-0,0003;-0,000115;0,000185
70;0,316268;;0,316268;0,316824;0,000556;;-0,000115;0,000671;0,000786
71;0,316824;;0,316824;0,317495;0,000671;;0,000671;0;-0,000671
72;0,317495;;0,317495;0,317495;0;;0;-0,000643;-0,000643
73;0,317495;;0,317495;0,317495;0;;-0,000643;0,000643;0,001286
74;0,317495;;0,317495;0,318138;0,000643;;0,000643;0;-0,000643
75;0,318138;;0,318138;0,318138;0;;0;-0,000929;-0,000929
76;0,318138;;0,318138;0,318138;0;;-0,000929;0,000471;0,0014
77;0,318138;;0,318138;0,319067;0,000929;;0,000471;0,0003;-0,000171
78;0,319067;;0,319067;0,319525;0,000458;;0,0003;-0,000632;-0,000932
79;0,319525;;0,319525;0,319683;0,000158;;-0,000632;0,00079;0,001422
80;0,319683;;0,319683;0,320473;0,00079;;0,00079;0;-0,00079
81;0,320473;;0,320473;0,320473;0;;0;0;0
82;0,320473;;0,320473;0,320473;0;;0;-0,014907;-0,014907
83;0,320473;;0,320473;0,320473;0;;-0,014907;-0,006749;0,008158
84;0,320473;;0,320473;0,33538;0,014907;;-0,006749;0,021059;0,027808
85;0,33538;;0,33538;0,357036;0,021656;;0,021059;0,000597;-0,020462
86;0,357036;;0,357036;0,357633;0,000597;;0,000597;0;-0,000597
87;0,357633;;0,357633;0,357633;0;;0;-0,000923;-0,000923
88;0,357633;;0,357633;0,357633;0;;-0,000923;0,000153;0,001076
89;0,357633;;0,357633;0,358556;0,000923;;0,000153;0,00077;0,000617
90;0,358556;;0,358556;0,359326;0,00077;;0,00077;0;-0,00077
91;0,359326;;0,359326;0,359326;0;;0;-0,000768;-0,000768
92;0,359326;;0,359326;0,359326;0;;-0,000768;-9E-05;0,000678
93;0,359326;;0,359326;0,360094;0,000768;;-9E-05;0,000858;0,000948
94;0,360094;;0,360094;0,360952;0,000858;;0,000858;0;-0,000858
95;0,360952;;0,360952;0,360952;0;;0;0;0
96;0,360952;;0,360952;0,360952;0;;0;-0,00028;-0,00028
97;0,360952;;0,360952;0,360952;0;;-0,00028;-0,000373;-9,3E-05
98;0,360952;;0,360952;0,361232;0,00028;;-0,000373;-0,000105;0,000268
99;0,361232;;0,361232;0,361885;0,000653;;-0,000105;0,000758;0,000863
100;0,361885;;0,361885;0,362643;0,000758;;0,000758;0;-0,000758
101;0,362643;;0,362643;0,362643;0;;0;-0,001234;-0,001234
102;0,362643;;0,362643;0,362643;0;;-0,001234;0,001234;0,002468
103;0,362643;;0,362643;0,363877;0,001234;;0,001234;0;-0,001234
104;0,363877;;0,363877;0,363877;0;;0;0;0
105;0,363877;;0,363877;0,363877;0;;0;-0,000516;-0,000516
106;0,363877;;0,363877;0,363877;0;;-0,000516;-0,013223;-0,012707
107;0,363877;;0,363877;0,364393;0,000516;;-0,013223;-0,0563;-0,043077
